R_gyr,L_gyr,R_acc,L_acc,SampleRate
0.0414441339671612,4.17902135848999,-4.79262666702271,-9.05056838989258,
0.0277718432247639,4.2486647605896,-4.82436590194702,-9.04080257415772,
-0.0350352481007576,4.30613107681274,-4.44593639373779,-9.18240852355957,
-0.0732749424874783,4.33497095108032,-4.55091991424561,-9.45341339111328,
-0.0927152335643768,4.3136082649231,-5.44206027984619,-9.50956687927246,
-0.158513131737709,4.27024126052856,-5.08560419082642,-9.71465129852295,
-0.182653272151947,4.27045516967774,-4.61195678710938,-11.0184022903442,
-0.243751341104507,4.31232652664185,-4.89028558731079,-12.3123870849609,
-0.356761366128922,4.29844055175781,-3.85753936767578,-12.903225517273,
-0.412945950031281,4.13223667144775,-4.13342671394348,-13.0570381164551,
-0.466139715909958,3.88143553733826,-4.68275995254517,-14.0287475585938,
-0.490279847383499,3.73061308860779,-4.57045192718506,-17.5273899078369,
-0.543046337366104,3.4973295211792,-4.60463266372681,-19.7198398590088,
-0.592181158065796,3.16534914970398,-4.87075386047363,-20.2032527923584,
-0.677419328689575,2.70006399154663,-4.66811094284058,-19.6929828643799,
-0.800683593750000,2.15958123207092,-4.54359531402588,-19.8858596801758,
-0.951506078243256,1.623371052742,-4.81215829849243,-21.4630569458008,
-1.13650931119919,1.12561415433884,-4.89272727966309,-23.4723949432373,
-1.35953857898712,0.698995918035507,-4.79750947952271,-24.2854076385498,
-1.60820331573486,0.224097406864166,-4.56801042556763,-24.571061706543,
-1.89895315170288,-0.202093565464020,-4.25305948257446,-24.9104267120361,
-2.21277496814728,-0.589403975009918,-4.35316009521484,-23.9899887084961,
-2.5377055644989,-1.06472976207733,-4.46302652359009,-21.8024223327637,
-2.91326642036438,-1.9175389289856,-4.32386226654053,-18.6822105407715,
-3.35911135673523,-3.87951288223267,-4.33362827301025,-12.7249967575073,
-3.88100824356079,-5.84875040054321,-4.27747402191162,4.89760980606079,
-4.69258680343628,-3.97714166641235,-3.42051429748535,-13.2596813201904,
-6.0136721611023,-0.874172194302082,-2.24372072219849,-34.6934387207031,
-7.40140981674194,-0.0813928633928299,-1.35746326446533,-29.7421157836914,
-8.77568845748901,-0.0324716925621033,0.307626581192017,-19.5562599182129,
-10.1886346817017,0.374919873476028,0.625019049644470,-13.840754365921,
-11.2003843307495,-0.117496262490749,-1.95806741714478,-1.52592544555664,
-11.7590255737305,0.0314035445451737,-4.8756368637085,0.446790885925293,
-12.0873746871948,-0.0316171765327454,-4.01867713928223,-10.159001159668,
-12.271523475647,-0.00769066438078880,-2.78328800201416,-8.30835857391358,
-10.9980770111084,-0.0358897671103478,-14.2045337677002,-4.84633932113648,
-5.99764995574951,-0.0365306556224823,-41.0412906646729,-4.64369640350342,
-0.296731472015381,-0.0927152305841446,-47.2963623046875,-5.63737888336182,
1.7455671787262,-0.141850030422211,-14.287544631958,-4.91225900650024,
1.12347786426544,-0.129032257199287,7.28293676376343,-4.60707406997681,
0.737662863731384,-0.0903653033077717,12.854395866394,-5.56413450241089,
0.662678897380829,-0.0549027979373932,6.98019313812256,-5.98895206451416,
0.830805385112763,-0.0405896179378033,-2.70516061782837,-5.92791519165039,
1.37299718856812,-0.0499893173575401,-5.69109134674072,-5.59099063873291,
2.08801534175873,-0.0890835314989090,-3.27646703720093,-4.75356292724609,
2.7321084022522,-0.174962618947029,-1.56743059158325,-4.45570201873779,
3.16556286811829,-0.220892971754074,-0.593279790878296,-5.73015508651733,
3.39072852134705,-0.213202297687531,0.424817657470703,-5.79607486724854,
3.55415511131287,-0.176458013057709,0.507827985286713,-5.8693193435669,
3.74044013023376,-0.128604994714260,-0.314950996637344,-5.38102321624756,
3.96624660491943,-0.0717795357108116,-1.33304841518402,-5.30533752441406,
4.23007898330689,0.00619525760412216,-1.94830152988434,-5.71062335968018,
4.46208057403564,0.0796838283538818,-2.03131189346313,-6.01824970245361,
4.64665679931641,0.150822469592094,-2.13385405540466,-5.81316528320313,
4.80645141601563,0.208502447605133,-2.23883781433105,-5.45426778793335,
4.9461651802063,0.233497110009193,-2.40485844612122,-5.73747968673706,
5.04934825897217,0.243324077129364,-2.99813823699951,-5.69597444534302,
5.14783172607422,0.238837856054306,-4.06506543159485,-5.52751207351685,
5.27964124679565,0.242255923151970,-5.30289602279663,-5.52018785476685,
5.46827583312988,0.250587481260300,-6.58955640792847,-5.52262907028198,
5.62892532348633,0.271309554576874,-7.44407444000244,-5.45915069580078,
